channels,hardware,backend,block_depth,stratas,image_size,HtoD Avg (ms),DtoH Avg (ms),Kernel Time (ms)
3,a4000,cuda,2,4,256,0.29,0.06,68.56
3,a4000,cuda,2,4,512,0.29,0.32,88.08
3,a4000,cuda,2,4,1024,0.29,1.39,276.26
3,a4000,cuda,2,4,2048,0.29,5.26,1038.45
3,a4000,cuda,2,5,256,1.17,0.06,89.95
3,a4000,cuda,2,5,512,1.18,0.31,119.73
3,a4000,cuda,2,5,1024,1.19,1.37,366.26
3,a4000,cuda,2,5,2048,1.18,5.33,1310.42
3,a4000,cuda,3,2,256,0.02,0.06,33.34
3,a4000,cuda,3,2,512,0.02,0.34,63.63
3,a4000,cuda,3,2,1024,0.02,1.31,179.4
3,a4000,cuda,3,2,2048,0.02,5.45,746.4
3,a4000,cuda,3,3,256,0.1,0.06,73.94
3,a4000,cuda,3,3,512,0.1,0.35,97.21
3,a4000,cuda,3,3,1024,0.1,1.35,296.18
3,a4000,cuda,3,3,2048,0.1,5.32,1121.69
3,a4000,cuda,3,4,256,0.42,0.06,111.56
3,a4000,cuda,3,4,512,0.42,0.32,132.01
3,a4000,cuda,3,4,1024,0.42,1.35,408.88
3,a4000,cuda,3,4,2048,0.42,5.37,1461.76
3,a4000,cuda,3,5,256,1.74,0.06,145.95
3,a4000,cuda,3,5,512,1.71,0.26,177.17
3,a4000,cuda,3,5,1024,1.73,1.34,534.73
3,a4000,cuda,3,5,2048,1.73,5.34,1859.19
3,a4000,cuda,4,2,256,0.03,0.06,45.88
3,a4000,cuda,4,2,512,0.03,0.3,85.9
3,a4000,cuda,4,2,1024,0.03,1.38,242.57
3,a4000,cuda,4,2,2048,0.03,5.31,963.12
3,a4000,cuda,4,3,256,0.13,0.06,102.88
3,a4000,cuda,4,3,512,0.13,0.32,128.83
3,a4000,cuda,4,3,1024,0.13,1.35,393.34
3,a4000,cuda,4,3,2048,0.13,5.33,1447.1
3,a4000,cuda,4,4,256,0.55,0.06,155.73
3,a4000,cuda,4,4,512,0.55,0.31,172.63
3,a4000,cuda,4,4,1024,0.55,1.37,540.49
3,a4000,cuda,4,4,2048,0.55,5.33,1888.29
3,a4000,cuda,4,5,256,2.25,0.06,202.06
3,a4000,cuda,4,5,512,2.25,0.32,235.62
3,a4000,cuda,4,5,1024,2.24,1.4,707.59
3,a4000,cuda,4,5,2048,2.25,5.3,2405.78
3,a4000,cuda,5,2,256,0.04,0.06,58.18
3,a4000,cuda,5,2,512,0.04,0.34,107.96
3,a4000,cuda,5,2,1024,0.04,1.37,303.7
3,a4000,cuda,5,2,2048,0.04,5.35,1182.62
3,a4000,cuda,5,3,256,0.17,0.06,131.65
3,a4000,cuda,5,3,512,0.17,0.31,161.72
3,a4000,cuda,5,3,1024,0.16,1.33,493.54
3,a4000,cuda,5,3,2048,0.17,5.27,1776.05
3,a4000,cuda,5,4,256,0.69,0.06,199.35
3,a4000,cuda,5,4,512,0.68,0.33,216.08
3,a4000,cuda,5,4,1024,0.69,1.31,672.59
3,a4000,cuda,5,4,2048,0.69,5.29,2316.87
3,a4000,cuda,5,5,256,2.83,0.06,258.85
3,a4000,cuda,5,5,512,2.85,0.28,292.95
3,a4000,cuda,5,5,1024,2.8,1.32,875.47
3,a4000,cuda,5,5,2048,2.8,5.34,2947.44
3,a4000,tensorrt,2,2,256,0.02,0.06,1.87
3,a4000,tensorrt,2,2,512,0.02,0.28,7.09
3,a4000,tensorrt,2,2,1024,0.02,1.25,28.17
3,a4000,tensorrt,2,2,2048,0.02,5.34,117.01
3,a4000,tensorrt,2,3,256,0.07,0.06,2.91
3,a4000,tensorrt,2,3,512,0.07,0.28,11.12
3,a4000,tensorrt,2,3,1024,0.07,1.28,44.4
3,a4000,tensorrt,2,3,2048,0.07,5.35,182.4
3,a4000,tensorrt,2,4,256,0.3,0.06,4.03
3,a4000,tensorrt,2,4,512,0.29,0.28,14.76
3,a4000,tensorrt,2,4,1024,0.3,1.26,59.21
3,a4000,tensorrt,2,4,2048,0.29,5.29,239.83
3,a4000,tensorrt,2,5,256,1.18,0.06,5.53
3,a4000,tensorrt,2,5,512,1.18,0.28,18.37
3,a4000,tensorrt,2,5,1024,1.2,1.28,72.4
3,a4000,tensorrt,2,5,2048,1.19,5.27,296.09
3,a4000,tensorrt,3,2,256,0.02,0.06,2.69
3,a4000,tensorrt,3,2,512,0.03,0.28,10.55
3,a4000,tensorrt,3,2,1024,0.03,1.29,42.53
3,a4000,tensorrt,3,2,2048,0.03,5.39,174.79
3,a4000,tensorrt,3,3,256,0.1,0.06,4.18
3,a4000,tensorrt,3,3,512,0.1,0.28,16.01
3,a4000,tensorrt,3,3,1024,0.11,1.29,64.39
3,a4000,tensorrt,3,3,2048,0.1,5.24,262.25
3,a4000,tensorrt,3,4,256,0.43,0.06,5.74
3,a4000,tensorrt,3,4,512,0.44,0.28,20.91
3,a4000,tensorrt,3,4,1024,0.43,1.3,83.76
3,a4000,tensorrt,3,4,2048,0.43,5.32,341.5
3,a4000,tensorrt,3,5,256,1.74,0.06,7.82
3,a4000,tensorrt,3,5,512,1.73,0.26,26.09
3,a4000,tensorrt,3,5,1024,1.72,1.29,103.54
3,a4000,tensorrt,3,5,2048,1.73,5.31,416.23
3,a4000,tensorrt,4,2,256,0.03,0.06,3.55
3,a4000,tensorrt,4,2,512,0.03,0.27,14.01
3,a4000,tensorrt,4,2,1024,0.04,1.28,56.68
3,a4000,tensorrt,4,2,2048,0.04,5.3,231.3
3,a4000,tensorrt,4,3,256,0.14,0.06,5.43
3,a4000,tensorrt,4,3,512,0.14,0.26,20.73
3,a4000,tensorrt,4,3,1024,0.14,1.31,83.72
3,a4000,tensorrt,4,3,2048,0.14,5.31,341.74
3,a4000,tensorrt,4,4,256,0.57,0.06,7.45
3,a4000,tensorrt,4,4,512,0.57,0.29,27.32
3,a4000,tensorrt,4,4,1024,0.56,1.29,109.62
3,a4000,tensorrt,4,4,2048,0.57,5.39,443.02
3,a4000,tensorrt,4,5,256,2.26,0.06,10.06
3,a4000,tensorrt,4,5,512,2.26,0.28,34.24
3,a4000,tensorrt,4,5,1024,2.26,1.28,134.68
3,a4000,tensorrt,4,5,2048,2.26,5.28,541.71
3,a4000,tensorrt,5,2,256,0.04,0.06,4.41
3,a4000,tensorrt,5,2,512,0.04,0.26,17.31
3,a4000,tensorrt,5,2,1024,0.04,1.28,70.17
3,a4000,tensorrt,5,2,2048,0.04,5.32,288.05
3,a4000,tensorrt,5,3,256,0.18,0.06,6.75
3,a4000,tensorrt,5,3,512,0.17,0.28,25.76
3,a4000,tensorrt,5,3,1024,0.18,1.28,103.85
3,a4000,tensorrt,5,3,2048,0.18,5.37,420.89
3,a4000,tensorrt,5,4,256,0.7,0.06,9.17
